歌单名,简介,歌曲名,艺人名,推荐语,,,,,,,
,,I Like Me Better (Miro Remix),Miro / Lauv,,,,,,,,
,,Outro,Luvea,,,,,,,,
,,Juvenescence,verzache,,,,,,,,
,,if only,ROOK1E,,,,,,,,
,,Ramona,Ieuan,,,,,,,,
,,Fairytale,Milky Chance,,,,,,,,
,,lullaby,mt. marcy,,,,,,,,
,,Remedy (feat. City Girl),tiffi / City Girl,,,,,,,,
,,Bawling,Primary / 吴赫,,,,,,,,
,,其实我一直都想对你说,莫文蔚,,,,,,,,
,,PUZZLE,中原めいこ,,,,,,,,
,,Midnight Pretenders,亜蘭知子,,,,,,,,
,,Reunion Waltz,羽毛田丈史,,,,,,,,
,,Baby Song (Live),田馥甄,,,,,,,,
,,嫉妒,陈绮贞,,,,,,,,
,,不是我不明白,梁静茹 / 卢广仲,,,,,,,,
,,逛街,戴佩妮,,,,,,,,
,,记念,蔡健雅,,,,,,,,
,,忘了,Any安伟,,,,,,,,
,,꿈꾸는 광대들,李秉佑,,,,,,,,
,,入戏,曹格,,,,,,,,
,,遥远,李雨,,,,,,,,
,,夜里,Doris何小河,,,,,,,,
,,旺天下,窦唯 / 译,,,,,,,,
,,女爵 (Live),苏打绿,,,,,,,,
,,Gondry&Cold November,Choitree,,,,,,,,
,,L1,Mooncake,,,,,,,,
,,So Much More,Ally Kerr,,,,,,,,
,,,,,,,,,,,
我的2018年度歌单,2018年我最喜欢的30首歌。查看你的2018年度个人音乐故事展：https://h.xiami.com/y2018.html,,,,,,,,,,
,,无常 (Live),田馥甄,,,,,,,,
,,灵魂伴侣,田馥甄,,,,,,,,
,,躲猫猫 (Peek-A-Boo),Red Velvet,,,,,,,,
,,Feelings,Helmut Zacharias,,,,,,,,
,,On the Nature of Daylight,Max Richter,,,,,,,,
,,Simon,丁世光,,,,,,,,
,,一趟,李宇春,,,,,,,,
,,Let Me Love You,Justin Bieber / DJ Snake,,,,,,,,
,,Dearest (A Classical ver.),浜崎あゆみ,,,,,,,,
,,This Life,Josef Salvat,,,,,,,,
,,Coastal Love,HONNE,,,,,,,,
,,Never Enough,Loren Allred,,,,,,,,
,,Iron,Woodkid,,,,,,,,
,,我的快乐大于我的悲哀,戴佩妮,,,,,,,,
,,三人游,方大同,,,,,,,,
,,至幸,S.E.N.S.,,,,,,,,
,,Gooey,Glass Animals,,,,,,,,
,,4 Walls,f(x),,,,,,,,
,,Havana (Remix),Daddy Yankee / Camila Cabello,,,,,,,,
,,追光者（Ánimo remix）,Ànimo,,,,,,,,
,,候鸟,S.H.E,,,,,,,,
,,今天清晨 (Live),杨乃文,,,,,,,,
,,水星记,郭顶,,,,,,,,
,,Chandelier,Sia,,,,,,,,
,,Generate (Original Mix),Eric Prydz,,,,,,,,
